match_date,match_id,year,side,team,opponent,population,wealth_gdp_ppp,avg_temp_c,rank,population_score,wealth_score,climate_score,ranking_score,score_for,score_against,actual,city,host_country
2014-06-24,347,2014,b,Uruguay,Italy,3356334.0,21867.8112276315,17.6,12,0.2955545061842169,0.5878297680099359,0.9843217347761177,0.5356927280555478,1,0,win,Natal,Brazil
2014-06-24,348,2014,a,Japan,Colombia,127276000.0,39555.4120089198,14.6,18,0.7194119147824656,0.7034335985835598,0.9879741303512339,0.4599311704813728,1,4,loss,Cuiabá,Brazil
2014-06-24,348,2014,b,Colombia,Japan,46565429.0,13355.3624162195,24.8,7,0.6021825314954018,0.4916508201428578,0.6200068879809457,0.6364047587727383,4,1,win,Cuiabá,Brazil
2014-06-25,349,2014,a,Bosnia and Herzegovina,Iran,3564829.0,11167.8379494776,10.9,38,0.30258090150763023,0.4567602033737907,0.851670507229441,0.3203134184418768,3,1,win,Salvador,Brazil
2014-06-25,349,2014,b,Iran,Bosnia and Herzegovina,81502045.0,16065.158186028,17.3,29,0.6674450746099564,0.5276834394683693,0.9896221268507549,0.370817434616976,1,3,loss,Salvador,Brazil
2014-06-25,350,2014,a,Ecuador,France,16035124.0,11835.6091276538,21.9,22,0.4778905527994508,0.46808769553758395,0.8066410193413683,0.4224356520170568,0,0,draw,Rio de Janeiro,Brazil
2014-06-25,350,2014,b,France,Ecuador,66312067.0,40218.1258637776,11.7,7,0.6433980326195498,0.7066744130693491,0.8921367932761701,0.6364047587727383,0,0,draw,Rio de Janeiro,Brazil
2014-06-25,351,2014,a,Honduras,Switzerland,9063122.0,4460.05742833175,23.5,60,0.4113690668940279,0.2777279870523888,0.7066482778577162,0.23496765794073904,0,3,loss,Manaus,Brazil
2014-06-25,351,2014,b,Switzerland,Honduras,8188649.0,63417.0438110319,6.5,16,0.39953947723321254,0.7955032945282753,0.5728686816364933,0.48193904750629724,3,0,win,Manaus,Brazil
2014-06-25,352,2014,a,Nigeria,Argentina,185896915.0,7396.12835532947,26.8,26,0.7635795288162461,0.3763835414674262,0.4867522559599716,0.39122143062014847,2,3,loss,Porto Alegre,Brazil
2014-06-25,352,2014,b,Argentina,Nigeria,43024071.0,19487.4181748868,14.8,3,0.5929605623964699,0.5653508431557093,0.9911505004882849,0.7947232043023992,3,2,win,Porto Alegre,Brazil
2014-06-26,353,2014,a,Algeria,Russia,39205031.0,14694.143827383,22.5,45,0.582123144838066,0.5102841961524675,0.7704330888993759,0.2887213384899895,1,1,draw,Curitiba,Brazil
2014-06-26,353,2014,b,Russia,Algeria,144237223.0,25688.2265625,-5.1,20,0.7339972582149379,0.6192362139928509,0.0640424024615019,0.44024445363833975,1,1,draw,Curitiba,Brazil
2014-06-26,354,2014,a,South Korea,Belgium,50746659.0,37032.1724172561,11.5,42,0.6122076458403084,0.6905767565769158,0.8824969025845955,0.30161272495171176,0,1,loss,São Paulo,Brazil
2014-06-26,354,2014,b,Belgium,South Korea,11209057.0,45147.6429534057,10.7,14,0.43614504566360324,0.7292262037934082,0.8408053791958005,0.5068895206493126,1,0,win,São Paulo,Brazil
2014-06-26,355,2014,a,Portugal,Ghana,10401062.0,28764.5254955042,15.2,9,0.4274225932484136,0.6412983910296318,0.9960571761381909,0.5894464086047984,2,1,win,Brasília,Brazil
2014-06-26,355,2014,b,Ghana,Portugal,28041592.0,5517.13178763566,27.2,37,0.5430525452713799,0.31921453400678157,0.46101671078353545,0.32529640685768524,1,2,loss,Brasília,Brazil
2014-06-26,356,2014,a,United States,Germany,319257560.0,55153.3940182967,8.6,11,0.826631112243845,0.7682714469430789,0.7131776783554898,0.5519508901404825,0,1,loss,Recife,Brazil
2014-06-26,356,2014,b,Germany,United States,80982500.0,47938.7968210418,9.6,4,0.6666994895739902,0.7409267071639514,0.776592510126528,0.7409695237531486,1,0,win,Recife,Brazil
2014-06-28,357,2014,a,Brazil,Chile,200085127.0,15827.3081625749,25.0,1,0.7721546621821516,0.5247740616202564,0.6065306597126334,1.0,1,1,draw,Belo Horizonte,Brazil
2014-06-28,357,2014,b,Chile,Brazil,17864195.0,22553.6161787372,8.5,10,0.49048404452411987,0.5938528614113928,0.7066482778577162,0.5697596917617653,1,1,draw,Belo Horizonte,Brazil
2014-06-28,358,2014,a,Colombia,Uruguay,46565429.0,13355.3624162195,24.8,6,0.6021825314954018,0.4916508201428578,0.6200068879809457,0.6652079661789736,2,0,win,Rio de Janeiro,Brazil
2014-06-28,358,2014,b,Uruguay,Colombia,3356334.0,21867.8112276315,17.6,9,0.2955545061842169,0.5878297680099359,0.9843217347761177,0.5894464086047984,0,2,loss,Rio de Janeiro,Brazil
2014-06-29,359,2014,a,Costa Rica,Greece,4767119.0,16393.8095428323,24.8,33,0.33646446980162076,0.531633398128091,0.6200068879809457,0.34667409444288166,1,1,draw,Recife,Brazil
2014-06-29,359,2014,b,Greece,Costa Rica,10892413.0,26450.181326726,15.4,17,0.4328041384695464,0.6249375853192393,0.9977802450856064,0.4706112767948082,1,1,draw,Recife,Brazil
2014-06-29,360,2014,a,Netherlands,Mexico,16865008.0,49751.3092860822,10.4,5,0.48377352068496027,0.7481653516096424,0.8240037097874372,0.6992749298851911,2,1,win,Fortaleza,Brazil
2014-06-29,360,2014,b,Mexico,Netherlands,119784261.0,18820.7991098584,21.0,14,0.7123390150466901,0.5585618305763711,0.8569968914352789,0.5068895206493126,1,2,loss,Fortaleza,Brazil
2014-06-30,361,2014,a,France,Nigeria,66312067.0,40218.1258637776,11.7,7,0.6433980326195498,0.7066744130693491,0.8921367932761701,0.6364047587727383,2,0,win,Brasília,Brazil
2014-06-30,361,2014,b,Nigeria,France,185896915.0,7396.12835532947,26.8,27,0.7635795288162461,0.3763835414674262,0.4867522559599716,0.38416961290719753,0,2,loss,Brasília,Brazil
2014-06-30,362,2014,a,Germany,Algeria,80982500.0,47938.7968210418,9.6,3,0.6666994895739902,0.7409267071639514,0.776592510126528,0.7947232043023992,2,1,win,Porto Alegre,Brazil
2014-06-30,362,2014,b,Algeria,Germany,39205031.0,14694.143827383,22.5,43,0.582123144838066,0.5102841961524675,0.7704330888993759,0.2972160281740057,1,2,loss,Porto Alegre,Brazil
2014-07-01,363,2014,a,Argentina,Switzerland,43024071.0,19487.4181748868,14.8,4,0.5929605623964699,0.5653508431557093,0.9911505004882849,0.7409695237531486,1,0,win,São Paulo,Brazil
2014-07-01,363,2014,b,Switzerland,Argentina,8188649.0,63417.0438110319,6.5,14,0.39953947723321254,0.7955032945282753,0.5728686816364933,0.5068895206493126,0,1,loss,São Paulo,Brazil
2014-07-01,364,2014,a,Belgium,United States,11209057.0,45147.6429534057,10.7,13,0.43614504566360324,0.7292262037934082,0.8408053791958005,0.5207366687435742,2,1,win,Salvador,Brazil
2014-07-01,364,2014,b,United States,Belgium,319257560.0,55153.3940182967,8.6,12,0.826631112243845,0.7682714469430789,0.7131776783554898,0.5356927280555478,1,2,loss,Salvador,Brazil
