market_id,question,slug,market_type,team,group,yes_price,no_price,liquidity,volume,end_date,model_probability,calibrated_yes_probability,recommended_side,trade_probability,trade_price,edge,ev_per_dollar,full_kelly_fraction,deploy_fraction,deploy_amount,max_loss,profit_if_win
558949,Will Japan win the 2026 FIFA World Cup?,will-japan-win-the-2026-fifa-world-cup-112,outright_winner,Japan,,0.0215,0.9785,779350.94704,46041303.31788089,2026-07-20T00:00:00Z,0.01615,0.019159,PASS,0.980841,0.9785,0.002341,0.002393,0.108904,0.0,0.0,0.0,0.0
839401,Will Haiti win Group C in the 2026 FIFA World Cup?,will-haiti-win-group-c-in-the-2026-fifa-world-cup,group_winner,Haiti,C,0.0065,0.9935,67068.94842,63297.63611900002,2026-06-27T00:00:00Z,0.00115,0.004159,PASS,0.995841,0.9935,0.002341,0.002357,0.360222,0.0,0.0,0.0,0.0
840402,Will Panama win Group L in the 2026 FIFA World Cup?,will-panama-win-group-l-in-the-2026-fifa-world-cup,group_winner,Panama,L,0.0285,0.9715,52160.24245,32851.382916999995,2026-06-27T00:00:00Z,0.02365,0.026377,PASS,0.973623,0.9715,0.002123,0.002185,0.074478,0.0,0.0,0.0,0.0
839394,Will Canada win Group B in the 2026 FIFA World Cup?,will-canada-win-group-a-in-the-2026-fifa-world-cup,group_winner,Canada,B,0.245,0.755,24071.0745,82063.07550299988,2026-06-27T00:00:00Z,0.2423,0.243818,PASS,0.756182,0.755,0.001182,0.001565,0.004823,0.0,0.0,0.0,0.0
558966,Will Ivory Coast win the 2026 FIFA World Cup?,will-ivory-coast-win-the-2026-fifa-world-cup,outright_winner,Ivory Coast,,0.0035,0.9965,5241109.83345,57049582.659781314,2026-07-20T00:00:00Z,0.0001,0.002012,PASS,0.997988,0.9965,0.001488,0.001493,0.425148,0.0,0.0,0.0,0.0
558956,Will Paraguay win the 2026 FIFA World Cup?,will-paraguay-win-the-2026-fifa-world-cup-967,outright_winner,Paraguay,,0.0035,0.9965,2925025.73465,51087251.8076616,2026-07-20T00:00:00Z,0.00025,0.002078,PASS,0.997922,0.9965,0.001422,0.001427,0.406392,0.0,0.0,0.0,0.0
558980,Will Sweden win the 2026 FIFA World Cup?,will-sweden-win-the-2026-fifa-world-cup,outright_winner,Sweden,,0.0035,0.9965,9855558.48857,35137841.51108319,2026-07-20T00:00:00Z,0.0003,0.0021,PASS,0.9979,0.9965,0.0014,0.001405,0.40014,0.0,0.0,0.0,0.0
839430,Will Curaçao win Group E in the 2026 FIFA World Cup?,will-curaao-win-group-e-in-the-2026-fifa-world-cup,group_winner,Curaçao,E,0.007,0.993,44714.63303,45837.60817500004,2026-06-27T00:00:00Z,0.0039,0.005643,PASS,0.994357,0.993,0.001357,0.001366,0.193818,0.0,0.0,0.0,0.0
558976,Will Croatia win the 2026 FIFA World Cup?,will-croatia-win-the-2026-fifa-world-cup,outright_winner,Croatia,,0.0085,0.9915,2213176.52597,49999978.25291729,2026-07-20T00:00:00Z,0.006,0.007406,PASS,0.992594,0.9915,0.001094,0.001104,0.128721,0.0,0.0,0.0,0.0
558973,Will Scotland win the 2026 FIFA World Cup?,will-scotland-win-the-2026-fifa-world-cup,outright_winner,Scotland,,0.0025,0.9975,15371474.95222,45234249.151654325,2026-07-20T00:00:00Z,0.00025,0.001515,PASS,0.998485,0.9975,0.000985,0.000987,0.393888,0.0,0.0,0.0,0.0
558975,Will Austria win the 2026 FIFA World Cup?,will-austria-win-the-2026-fifa-world-cup,outright_winner,Austria,,0.0045,0.9955,3837491.81008,47099456.228057384,2026-07-20T00:00:00Z,0.0023,0.003537,PASS,0.996463,0.9955,0.000963,0.000967,0.213964,0.0,0.0,0.0,0.0
839563,Will Saudi Arabia win Group H in the 2026 FIFA World Cup?,will-saudi-arabia-win-group-h-in-the-2026-fifa-world-cup,group_winner,Saudi Arabia,H,0.0135,0.9865,107509.28966,128547.572825,2026-06-27T00:00:00Z,0.0117,0.012712,PASS,0.987288,0.9865,0.000788,0.000799,0.058354,0.0,0.0,0.0,0.0
558952,Will Canada win the 2026 FIFA World Cup?,will-canada-win-the-2026-fifa-world-cup-755,outright_winner,Canada,,0.0025,0.9975,3460870.29126,48930308.54532011,2026-07-20T00:00:00Z,0.00075,0.001734,PASS,0.998266,0.9975,0.000766,0.000768,0.306357,0.0,0.0,0.0,0.0
558961,Will South Korea win the 2026 FIFA World Cup?,will-south-korea-win-the-2026-fifa-world-cup-485,outright_winner,South Korea,,0.0045,0.9955,3434856.13316,61582428.466482766,2026-07-20T00:00:00Z,0.003,0.003844,PASS,0.996156,0.9955,0.000656,0.000659,0.145884,0.0,0.0,0.0,0.0
558967,Will Ghana win the 2026 FIFA World Cup?,will-ghana-win-the-2026-fifa-world-cup,outright_winner,Ghana,,0.0015,0.9985,15265627.68947,40895906.22444196,2026-07-20T00:00:00Z,0.0,0.000844,PASS,0.999156,0.9985,0.000656,0.000657,0.437653,0.0,0.0,0.0,0.0
558981,Will Congo DR win the 2026 FIFA World Cup?,will-congo-dr-win-the-2026-fifa-world-cup,outright_winner,Congo DR,,0.0015,0.9985,9683480.19199,60648850.54240983,2026-07-20T00:00:00Z,0.0,0.000844,PASS,0.999156,0.9985,0.000656,0.000657,0.437653,0.0,0.0,0.0,0.0
558983,Will Bosnia-Herzegovina win the 2026 FIFA World Cup?,will-bosnia-herzegovina-win-the-2026-fifa-world-cup,outright_winner,Bosnia and Herzegovina,,0.0015,0.9985,7014198.28012,34862312.00371791,2026-07-20T00:00:00Z,0.0,0.000844,PASS,0.999156,0.9985,0.000656,0.000657,0.437653,0.0,0.0,0.0,0.0
558968,Will Egypt win the 2026 FIFA World Cup?,will-egypt-win-the-2026-fifa-world-cup,outright_winner,Egypt,,0.0015,0.9985,7146410.09212,54911714.3443597,2026-07-20T00:00:00Z,0.00015,0.000909,PASS,0.999091,0.9985,0.000591,0.000592,0.393888,0.0,0.0,0.0,0.0
840396,Will Croatia win Group L in the 2026 FIFA World Cup?,will-croatia-win-group-l-in-the-2026-fifa-world-cup,group_winner,Croatia,L,0.225,0.775,65664.9925,26736.654128000035,2026-06-27T00:00:00Z,0.2253,0.225131,PASS,0.225131,0.225,0.000131,0.000584,0.000169,0.0,0.0,0.0,0.0
558969,Will Algeria win the 2026 FIFA World Cup?,will-algeria-win-the-2026-fifa-world-cup,outright_winner,Algeria,,0.0015,0.9985,10026307.86851,47856584.50121553,2026-07-20T00:00:00Z,0.0006,0.001106,PASS,0.998894,0.9985,0.000394,0.000394,0.262592,0.0,0.0,0.0,0.0
558984,Will Czechia win the 2026 FIFA World Cup?,will-czechia-win-the-2026-fifa-world-cup,outright_winner,Czech Republic,,0.0015,0.9985,12318871.58188,46231474.441015966,2026-07-20T00:00:00Z,0.0006,0.001106,PASS,0.998894,0.9985,0.000394,0.000394,0.262592,0.0,0.0,0.0,0.0
